გამოსხივება	გამო სხივ ებ ა
ეგვიპტიდან	ე გვიპტ იდან
გოტფრიდ	გოტ ფრიდ
შესვლამდე	შე სვლ ამდე
წინამორბედის	წინამ ორბედ ის
ლოჟა	ლოჟ ა
შეაქვს	შე აქვს
ტექნოლოგიები	ტექნ ოლოგი ები
არუბა	ა რუბა
ჩაუსაფრდა	ჩაუ ს აფრ და
ოლეგ	ო ლეგ
გორაკებს	გორაკ ებს
შეპირდა	შე პირ და
აზოტოვანი	აზოტ ოვანი
დიაკვნის	დიაკვნ ის
ჰიდრას	ჰიდრ ა ს
რეჟისორ	რეჟისორ
სერიალები	სერიალ ები
ბრალდების	ბრალდ ების
სინონიმი	სინონიმ ი
მარმარილო	მარ მარილ ო
შვიდ	შვიდ
ისეც	ის ეც
სახურავის	სახურ ა ვის
გამოიკვეთა	გამო ი კვეთ ა
გოთები	გოთ ები
სთავაზობდა	ს თავაზ ობდა
ინფორმაციაზე	ინფორმა ცია ზე
რუსეთისა	რუსეთ ის ა
შრეები	შრე ები
ფაქტორების	ფაქტორ ების
ელემენტით	ელემენტ ით
ლიმიტი	ლიმ ი ტი
ქართუელთა	ქარ თუ ელთა
განსაზღვრებას	გა ნსაზღვრ ებას
წერტილს	წერტილ ს
გადაიცემოდა	გადა ი ცემ ოდა
ომიც	ომ იც
ა	ა
ტარა	ტარ ა
ქსოვილებს	ქსოვილ ებს
