იტალიასთან	იტალ ი ასთან
საათებშია	სა ათ ებშია
მსვლელობა	მსვლელ ობა
ახალბედას	ახალ ბედ ას
ჰუსერლის	ჰუსერ ლი ს
სინდრომით	სინ დრომ ით
გადასაღებად	გადასა ღებ ად
დეპარტამენტების	დეპარტა მენტ ების
იურისდიქციას	იურის დიქცი ას
გასატეხად	გასა ტეხ ად
ლეიკერსთან	ლეიკ ერს თან
იაპონურად	იაპონ ურ ად
ბიზანტიაში	ბიზანტ ი აში
ჰოფმანის	ჰო ფმან ის
ირლანდიას	ირ ლანდი ას
მეფობს	მე ფობ ს
ბაღები	ბა ღ ები
მანფრედ	მან ფრ ედ
ოცდაათი	ოცდა ათ ი
კარნიზის	კარ ნიზი ს
საუბრობენ	საუბრ ობენ
აფარებდა	აფ არ ებდა
მზესუმზირას	მზესუმ ზირ ას
პოლონეთსა	პოლონ ეთ სა
რამდენადაც	რამ დენ ადაც
საცხოვრებლების	სა ცხოვრებლ ების
ბანკთან	ბანკ თან
ფაბიუსმა	ფა ბიუს მა
პრივილეგირებულ	პრივილეგ ირებულ
თავადაც	თავად აც
გარეგნული	გარეგნ ულ ი
გონსალო	გონ სალ ო
შემოდგომიდან	შემო დგომ იდან
გერბად	გე რბ ად
პრიორიტეტებია	პრი ორიტეტ ებია
წარმართი	წარ მართ ი
აკურთხა	ა კურთხ ა
ჰიპოთეზას	ჰიპოთ ეზ ას
თვითნებობის	თვით ნებ ობის
ბაბუამ	ბა ბუ ამ
ხომალდის	ხო მალდ ის
მაგმის	მაგ მ ის
დარეგისტრირებულია	და რეგისტრირებული ა
მენის	მე ნ ის
რომეოს	რო მე ოს
კეტი	კეტ ი
ამოვარდა	ამო ვარდ ა
