იტალიასთან	იტალი ა სთან
მიტოვების	მიტოვ ების
მასასთან	მასა სთან
სპურსმა	სპურ სმა
ეწერა	ეწერ ა
ნაპრალები	ნაპრალ ები
კიდურის	კიდურ ის
რელიგიით	რელიგი ით
საკვებთან	საკვებ თან
მოცულობაზე	მოცულობ აზე
სერგი	სერგ ი
ანალოგიურია	ანალოგი ური ა
კრონპრინცი	კრონპრინც ი
დაუმთავრებელ	დაუმთავრებ ელ
რე	რე
ეჯახება	ეჯახ ება
ნიცა	ნიც ა
დასაწყისი	დასაწყის ი
ტოტენჰემის	ტოტენჰემ ის
იჭერდა	იჭერ და
ქრონიკის	ქრონიკ ის
ოქროსი	ოქრო სი
გაამეფეს	გაამეფ ეს
